,brand,product_name,product_propablity,product_detail,RRP,price,rating,product_code,stock_info,product_description
5044,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,55.13,,100.0,CJA21344,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5045,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,99.24,,,CJA213512,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5046,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,72.77,,100.0,CJA21348,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5047,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,63.95,,,CJA21355,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5048,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,74.98,,80.0,CJA21366,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5049,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,132.31,,,CJA2166816,In Stock Online, 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5050,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,94.83,,93.3333,CJA216681,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5051,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,80.49,,,CJA216678,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5052,JACKSON'S , MUSEUM , 25MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,74.98,,100.0,CJA216677,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 25MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5053,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,179.73,,,CJA4112116,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5054,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,165.39,,,CJA4112114,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5055,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,173.11,,,CJA4112115,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5056,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,213.91,,90.0,CJA41121218,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5057,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,79.39,,,CJA411266,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5058,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,78.29,,,CJA411257,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5059,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,84.9,,100.0,CJA411267,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5060,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,90.41,,,CJA411268,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5061,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,138.93,,93.3333,CJA4112714,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5062,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,108.06,,,CJA411271,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5063,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 112 MODERATELY FINE LINEN ,90.41,,,CJA411277,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 112 MODERATELY FINE LINEN  345GSM 
5064,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,103.65,,100.0,CJA41378,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5065,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,97.03,,,CJA41377,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5066,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,174.21,,96.6667,CJA41661215,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5067,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,176.42,,,CJA4166118,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5068,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 166 ,144.44,,100.0,CJA41661212,Low Stock, 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 166  MEDIUM LINEN 
5069,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,137.83,,,CJA413812,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5070,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,159.88,,100.0,CJA413814,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
5071,JACKSON'S , MUSEUM , 45MM ALUMINIUM STRETCHED CANVAS , CLAESSENS 13 VERY FINE LINEN ,174.21,,,CJA413816,"Our bespoke items can take up to 14 days to make, so please also allow for the courier service delivery time to your address.", 45MM ALUMINIUM STRETCHED CANVAS  CLAESSENS 13 VERY FINE LINEN  325GSM 
